10-XY-20,Opel,Corsa XL,2019-10-15
20-PQ-15,Mercedes,300SL,2017-05-31
02-XM-01,Mercedes,280SE,2019-07-13
22-ZA-03,Ford,Fiesta,2020-02-15
DF-58-AS,Lotus,Elise,2021-10-15
HJ-87-AD,Volvo,S40,2021-02-15
GG-98-77,Fiat,500,1989-06-15
45-AA-23,Volvo,V40,2018-06-15
AA-78-SD,Volvo,S60,2021-09-19
TT-48-56,Fiat,500,1991-07-12
AD-28-FD,Ford,Focus,2021-09-19
45-79-DS,Ford,Fiesta,1999-09-15
AD-45-SS,Seat,Leon,2021-10-18
TL-45-87,BMW,318i,1990-05-22
AD-78-DF,Seat,Leon,2021-09-15
45-AS-48,BMW,M3,2005-10-02
23-XV-78,Dacia,Sandero,2019-02-19
78-RT-98,Honda,Jazz,2018-11-25
80-ZT-78,Honda,Civic,2019-11-25
